Enter PID (0 for current process): Process PID 17896

Page size: 4096  Min addr: 0x10000  Max addr: 0x7ffffffeffff
Total phys (MB): 65236  Avail phys (MB): 42992
System cache (MB): 43392  Commit limit (MB): 74964

Working Set (MB): 5  Private WS (MB): 11  Pagefile (MB): 11
Base              Size(KB)    State       Prot    Type
0x10000           2096960     Free        ---     0
0x7ffe0000        4           Committed   R--     131072
0x7ffe1000        28          Free        ---     0
0x7ffe8000        4           Committed   R--     131072
0x7ffe9000        1068695644  Free        ---     0
0xff4c000000      332         Reserved    ---     131072
0xff4c053000      36          Committed   RW-     131072
0xff4c05c000      1680        Reserved    ---     131072
0xff4c200000      2020        Reserved    ---     131072
0xff4c3f9000      12          Committed   RW-     131072
0xff4c3fc000      16          Committed   RW-     131072
0xff4c400000      2028        Reserved    ---     131072
0xff4c5fb000      12          Committed   RW-     131072
0xff4c5fe000      8           Committed   RW-     131072
0xff4c600000      2028        Reserved    ---     131072
0xff4c7fb000      12          Committed   RW-     131072
0xff4c7fe000      8           Committed   RW-     131072
0xff4c800000      2028        Reserved    ---     131072
0xff4c9fb000      12          Committed   RW-     131072
0xff4c9fe000      8           Committed   RW-     131072
0xff4ca00000      1837222208  Free        ---     0
0x2b553c50000     64          Committed   RW-     262144
0x2b553c60000     12          Committed   R--     262144
0x2b553c63000     52          Free        ---     0
0x2b553c70000     116         Committed   R--     262144
0x2b553c8d000     12          Free        ---     0
0x2b553c90000     16          Committed   R--     262144
0x2b553c94000     48          Free        ---     0
0x2b553ca0000     8           Committed   RW-     131072
0x2b553ca2000     56          Free        ---     0
0x2b553cb0000     804         Committed   R--     262144
0x2b553d79000     28          Free        ---     0
0x2b553d80000     12          Committed   R--     262144
0x2b553d83000     52          Free        ---     0
0x2b553d90000     4           Committed   R--     262144
0x2b553d91000     252         Free        ---     0
0x2b553dd0000     268         Committed   RW-     131072
0x2b553e13000     756         Reserved    ---     131072
0x2b553ed0000     8           Committed   RW-     131072
0x2b553ed2000     384         Reserved    ---     131072
0x2b553f32000     56          Free        ---     0
0x2b553f40000     10240       Committed   RW-     131072
0x2b554940000     836         Committed   RW-     131072
0x2b554a11000     188         Reserved    ---     131072
0x2b554a40000     134483736256Free        ---     0
0x7ff4c07f0000    20          Committed   R--     262144
0x7ff4c07f5000    1004        Reserved    ---     262144
0x7ff4c08f0000    4194432     Reserved    ---     131072
0x7ff5c0910000    32768       Reserved    ---     131072
0x7ff5c2910000    4           Committed   RW-     131072
0x7ff5c2911000    60          Free        ---     0
0x7ff5c2920000    4           Committed   R--     262144
0x7ff5c2921000    60          Free        ---     0
0x7ff5c2930000    204         Committed   R--     262144
0x7ff5c2963000    4097076     Free        ---     0
0x7ff6bca70000    4           Committed   R--     16777216
0x7ff6bca71000    16          Committed   R-X     16777216
0x7ff6bca75000    4           Committed   RWC     16777216
0x7ff6bca76000    12          Committed   R--     16777216
0x7ff6bca79000    4           Committed   RW-     16777216
0x7ff6bca7a000    4           Committed   R--     16777216
0x7ff6bca7b000    4           Committed   RWC     16777216
0x7ff6bca7c000    36          Committed   R--     16777216
0x7ff6bca85000    15451244    Free        ---     0
0x7ffa6bba0000    4           Committed   R--     16777216
0x7ffa6bba1000    1304        Committed   R-X     16777216
0x7ffa6bce7000    16          Committed   RW-     16777216
0x7ffa6bceb000    4           Committed   RWC     16777216
0x7ffa6bcec000    508         Committed   R--     16777216
0x7ffa6bd6b000    4           Committed   RW-     16777216
0x7ffa6bd6c000    424         Committed   R--     16777216
0x7ffa6bdd6000    4           Committed   RW-     16777216
0x7ffa6bdd7000    8           Committed   RWC     16777216
0x7ffa6bdd9000    12          Committed   R--     16777216
0x7ffa6bddc000    3708880     Free        ---     0
0x7ffb4e3d0000    4           Committed   R--     16777216
0x7ffb4e3d1000    124         Committed   R-X     16777216
0x7ffb4e3f0000    4           Committed   RW-     16777216
0x7ffb4e3f1000    12          Committed   R--     16777216
0x7ffb4e3f4000    4           Committed   RW-     16777216
0x7ffb4e3f5000    4           Committed   R--     16777216
0x7ffb4e3f6000    4           Committed   RW-     16777216
0x7ffb4e3f7000    4           Committed   RWC     16777216
0x7ffb4e3f8000    4           Committed   R--     16777216
0x7ffb4e3f9000    1373980     Free        ---     0
0x7ffba21c0000    4           Committed   R--     16777216
0x7ffba21c1000    36          Committed   R-X     16777216
0x7ffba21ca000    4           Committed   RW-     16777216
0x7ffba21cb000    12          Committed   R--     16777216
0x7ffba21ce000    4           Committed   RW-     16777216
